epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,22006.1,0.39761,0.49124,0.96096,0.67362,0.82937,0.74195,0.58143,0.93452,1.04012,1.42121,0.000103581,0.000103581,0.000103581
181,22129.4,0.38542,0.46885,0.95594,0.76495,0.656,0.73536,0.57984,0.91826,1.04835,1.40383,9.9081e-05,9.9081e-05,9.9081e-05
182,22252.8,0.39856,0.48191,0.97068,0.7617,0.65583,0.73326,0.58038,0.92047,1.05811,1.40702,9.45814e-05,9.45814e-05,9.45814e-05
183,22376.6,0.39852,0.50655,0.95735,0.75081,0.6323,0.72606,0.57652,0.93402,1.08731,1.41382,9.00819e-05,9.00819e-05,9.00819e-05
184,22500.8,0.41253,0.51149,0.96605,0.75409,0.64768,0.72459,0.56987,0.95156,1.11848,1.41976,8.55823e-05,8.55823e-05,8.55823e-05
185,22624.7,0.39613,0.48256,0.95795,0.6325,0.84621,0.72719,0.57758,0.94869,1.1203,1.41656,8.10828e-05,8.10828e-05,8.10828e-05
186,22749,0.39838,0.47301,0.9588,0.63483,0.83184,0.72631,0.57127,0.95991,1.10461,1.43025,7.65832e-05,7.65832e-05,7.65832e-05
187,22874.5,0.37728,0.45902,0.95658,0.67082,0.81688,0.73386,0.57548,0.95797,1.08624,1.42796,7.20837e-05,7.20837e-05,7.20837e-05
188,22997.4,0.38635,0.48458,0.95439,0.66801,0.81418,0.7347,0.57672,0.9643,1.07939,1.43234,6.75841e-05,6.75841e-05,6.75841e-05
189,23178.6,0.40874,0.50866,0.97315,0.698,0.81033,0.73775,0.57409,0.9639,1.09289,1.43775,6.30846e-05,6.30846e-05,6.30846e-05
190,23342,0.37927,0.47268,0.96275,0.71137,0.81272,0.73634,0.57322,0.95921,1.09231,1.44103,5.85851e-05,5.85851e-05,5.85851e-05
191,23460.5,0.33341,0.54765,0.92786,0.71205,0.78581,0.71709,0.55565,0.95794,1.1247,1.45638,5.40855e-05,5.40855e-05,5.40855e-05
192,23580.2,0.33482,0.49743,0.90557,0.72545,0.78322,0.71393,0.55182,0.97102,1.19522,1.46549,4.9586e-05,4.9586e-05,4.9586e-05
193,23701.7,0.33571,0.50077,0.92785,0.72801,0.79769,0.73159,0.55396,0.97695,1.23019,1.46943,4.50864e-05,4.50864e-05,4.50864e-05
194,23823.5,0.32544,0.47231,0.92696,0.67135,0.82331,0.71114,0.55133,0.96919,1.20158,1.46387,4.05869e-05,4.05869e-05,4.05869e-05
195,23943.9,0.31911,0.47415,0.92556,0.72074,0.79416,0.71035,0.55286,0.96498,1.16276,1.46516,3.60873e-05,3.60873e-05,3.60873e-05
196,24065.9,0.34954,0.48433,0.93896,0.7365,0.82791,0.72925,0.55519,0.96611,1.16292,1.47128,3.15878e-05,3.15878e-05,3.15878e-05
197,24188.7,0.3134,0.44006,0.91477,0.74984,0.80418,0.73871,0.56855,0.96763,1.13138,1.4672,2.70882e-05,2.70882e-05,2.70882e-05
198,24309.1,0.31357,0.45817,0.91031,0.75109,0.80522,0.73668,0.56998,0.97706,1.13023,1.47781,2.25887e-05,2.25887e-05,2.25887e-05
199,24428.3,0.3079,0.43551,0.91943,0.75136,0.80833,0.73788,0.57096,0.97333,1.1226,1.47588,1.80891e-05,1.80891e-05,1.80891e-05
200,24544.2,0.31917,0.45497,0.90491,0.74568,0.81403,0.72701,0.56346,0.98369,1.12086,1.48626,1.35896e-05,1.35896e-05,1.35896e-05
